Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60435000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
60435000;1;01/07/2018;;1;1;0,629;0,133;0,478;1;31;1;1;1;;0;0,629;0,629;0,629;0,599;0,599;0,599;0,569;0,539;0,539;0,539;0,539;0,51;0,481;0,481;0,481;0,481;0,481;0,481;0,453;0,425;0,425;0,425;0,425;0,425;0,453;0,425;0,425;0,425;0,425;0,154;0,133;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/06/2018;;1;1;1,095;0,66;0,84;2;28;1;1;1;;0;1,06;1,095;1,025;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,887;0,887;0,854;0,854;0,854;0,788;0,755;0,755;0,723;0,723;0,723;0,723;0,723;0,723;0,723;0,723;0,692;0,66;0,66;0,66;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/05/2018;;1;1;1,823;1,131;1,326;20;16;1;1;1;;0;1,583;1,466;1,428;1,428;1,352;1,39;1,352;1,314;1,277;1,277;1,24;1,203;1,24;1,167;1,203;1,131;1,131;1,131;1,131;1,823;1,783;1,622;1,505;1,39;1,277;1,24;1,203;1,203;1,203;1,203;1,203;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/04/2018;;1;1;3,008;1,583;2,076;17;30;1;1;1;;0;1,702;2,03;1,742;1,783;2,2;2,243;2,731;2,731;2,462;2,374;2,073;2,073;1,947;2,115;1,947;2,731;3,008;2,551;2,158;2,03;1,864;1,823;1,742;1,702;1,662;2,03;1,823;1,742;1,662;1,583;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/03/2018;;1;1;4,805;1,466;2,548;14;4;1;1;1;;0;1,583;1,622;1,505;1,466;2,374;2,115;2,462;3,008;3,387;3,196;2,731;2,374;2,374;4,805;3,979;3,291;2,731;2,641;2,823;2,641;3,008;2,823;2,641;2,731;2,641;2,374;2,2;1,947;1,864;1,783;1,864;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/02/2018;;1;1;4,49;1,544;2,125;4;17;1;1;1;;0;2,03;1,864;2,115;4,49;3,878;3,102;2,731;2,374;2,823;2,596;2,287;2,158;2,073;1,905;1,783;1,702;1,544;1,622;1,583;1,544;1,622;1,702;1,583;1,583;1,583;1,742;1,783;1,702;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
60435000;1;01/01/2018;;1;1;6,806;1,505;2,611;3;24;1;1;1;;0;2,158;3,68;6,806;3,484;3,102;3,68;3,484;3,979;2,961;2,641;2,462;2,2;3,102;3,008;3,582;2,641;2,2;2,03;1,864;1,742;1,702;1,702;1,544;1,505;2,731;2,03;1,988;1,905;1,783;1,662;1,583;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/12/2017;;1;1;4,11;0,934;1,865;29;6;1;1;1;;0;1,776;1,706;1,437;1,189;1,044;0,934;1,249;1,603;0,934;1,249;1,31;1,373;1,706;2,711;2,883;2,626;2,222;1,92;1,637;1,637;1,502;1,342;2,145;2,883;2,883;2,461;2,145;1,847;4,11;1,706;1,637;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60435000;1;01/11/2017;;1;1;7,894;0,099;0,739;30;7;1;1;1;;0;0,269;0,335;0,37;0,11;0,11;0,11;0,099;0,754;0,269;0,407;0,659;0,569;0,569;0,569;0,526;0,37;0,335;0,389;0,613;0,407;0,407;0,485;0,37;0,569;0,485;1,31;0,706;1,13;0,961;7,894;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60435000;1;01/10/2017;;1;1;0,224;0,054;0,079;3;19;1;1;1;;0;0,089;0,089;0,224;0,11;0,089;0,08;0,089;0,089;0,08;0,071;0,08;0,08;0,071;0,071;0,071;0,071;0,071;0,062;0,054;0,054;0,054;0,062;0,062;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,089;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
