"Cod_estacao"	"Data"	"Vazao"
"60436190"	"2008-08-29"	4.2366
"60436190"	"2008-08-30"	4.0877
"60436190"	"2008-08-31"	4.2366
"60436190"	"2008-09-01"	4.2366
"60436190"	"2008-09-02"	4.0877
"60436190"	"2008-09-03"	4.0141
"60436190"	"2008-09-04"	4.0877
"60436190"	"2008-09-05"	3.7969
"60436190"	"2008-09-06"	3.8687
"60436190"	"2008-09-07"	4.0877
"60436190"	"2008-09-08"	3.8687
"60436190"	"2008-09-09"	3.8687
"60436190"	"2008-09-10"	3.8687
"60436190"	"2008-09-11"	3.8687
"60436190"	"2008-09-12"	3.7969
"60436190"	"2008-09-13"	3.5849
"60436190"	"2008-09-14"	3.7256
"60436190"	"2008-09-15"	3.7969
"60436190"	"2008-09-16"	3.7969
"60436190"	"2008-09-17"	3.7256
"60436190"	"2008-09-18"	3.8687
"60436190"	"2008-09-19"	3.7256
"60436190"	"2008-09-20"	4.7759
"60436190"	"2008-09-21"	6.7423
"60436190"	"2008-09-22"	4.2366
"60436190"	"2008-09-23"	4.3878
"60436190"	"2008-09-24"	4.0877
"60436190"	"2008-09-25"	4.0877
"60436190"	"2008-09-26"	7.8835
"60436190"	"2008-09-27"	5.5946
"60436190"	"2008-09-28"	4.3878
